ExpTime(s),jwst.nircam.f090w,jwst.nircam.f115w,jwst.nircam.f150w,jwst.nircam.f200w,jwst.nircam.f277w,jwst.nircam.f356w,jwst.nircam.f410m,jwst.nircam.f444w
550,168.28,144.82,118.56,101.7,94.56,90.41,187.67,101.98
600,149.85,128.44,105.78,90.6,86.12,82.41,169.12,93.63
650,134.86,116.01,95.49,82.37,79.17,75.73,154.28,86.86
700,122.6,105.26,86.67,75.56,73.32,70.17,141.85,81.39
750,112.39,96.34,79.64,68.73,68.5,65.53,131.56,76.66
800,103.75,88.44,74.17,63.17,64.14,61.55,122.57,72.4
850,95.91,82.06,67.24,57.83,60.62,57.93,114.96,68.87
900,87.37,74.94,62.2,52.71,57.19,54.87,107.17,65.9
950,79.93,68.74,57.11,49.03,54.13,51.72,100.03,62.57
1000,73.41,63.48,53.57,45.13,51.44,49.12,94,60.06
1050,67.45,59.14,49.05,41.73,48.93,46.52,88.44,57.84
1100,63.86,54.79,46.37,39.48,47.08,44.76,84.64,55.7
1150,60.98,52.78,44.19,37.66,45.32,43.28,81.58,54.03
1200,58.34,50.44,41.94,36.18,44.02,41.98,78.61,52.46
1250,55.92,48.41,40.13,34.59,42.72,40.68,76.11,51.16
1300,53.97,46.73,38.56,33.44,41.61,39.66,73.79,49.95
1350,51.89,45.17,37.3,32.28,40.5,38.64,71.56,48.84
1400,50.09,43.62,36.6,31.13,39.38,37.62,69.52,47.59
1450,48.52,42.17,35.23,30.25,38.55,36.88,67.76,46.71
1500,47.04,40.97,34.28,29.37,37.62,35.95,66,45.78
1550,45.84,39.77,33.23,28.49,36.88,35.21,64.42,45.04
1600,44.79,38.77,32.43,27.78,36.14,34.47,62.94,44.11
1650,42.93,37.69,31.53,27.07,35.49,33.73,61.55,43.18
1700,42.01,36.91,30.86,26.41,34.75,33.17,60.43,42.44
1750,41.21,35.93,30.08,25.75,34.19,32.52,59.14,41.89
1800,40.29,35.11,29.47,25.25,33.54,31.96,58.02,41.24
1850,39.33,34.39,28.8,24.7,33.08,31.41,56.91,40.59
1900,38.49,33.69,28.2,24.21,32.52,30.85,55.89,39.94
1950,37.75,33.12,27.69,23.72,31.96,30.48,54.87,39.38
2000,37.1,32.05,27.17,23.28,31.5,30.02,54.03,38.92
2050,36.29,31.28,26.67,22.84,31.04,29.46,53.29,38.36
2100,35.58,30.57,26.15,22.4,30.57,29.09,52.27,37.81
